,Federal adjusted gross income,Gender
491,7500,2
492,0,1
493,58860,1
494,42400,1
495,23519,2
496,0,1
497,0,1
498,59007,2
499,19457,1
500,44600,1
501,75000,2
502,0,1
503,0,1
504,9357,2
505,9700,1
506,60000,1
507,83396,1
508,0,2
509,100544,1
510,0,2
511,0,2
512,27537,1
513,55150,1
514,34010,2
515,5010,1
516,195504,2
517,0,1
518,0,2
519,0,1
520,37501,2
521,6501,2
522,89026,1
523,0,2
524,63447,1
525,0,2
526,0,1
527,69400,2
528,15005,1
529,0,2
530,38846,2
531,0,1
532,0,1
533,0,2
534,102560,1
535,0,2
536,0,1
537,0,2
538,0,2
539,0,1
540,60054,2
541,0,1
542,0,1
543,0,1
544,36210,2
545,73500,1
546,0,1
547,0,1
548,112051,2
549,0,1
550,64597,2
551,59055,1
552,0,2
553,92178,1
554,0,2
555,103391,2
556,0,1
557,0,1
558,0,2
559,0,2
560,0,2
561,0,1
562,120200,1
563,0,2
564,0,1
565,257642,1
566,0,2
567,0,2
568,160952,2
569,0,1
570,0,2
571,0,2
572,66347,2
573,0,1
574,25001,2
575,22001,2
576,0,1
577,0,2
578,148517,1
579,0,2
580,0,1
581,0,1
582,0,2
583,0,2
584,0,2
585,26010,2
586,10140,1
587,0,2
588,0,2
589,159099,2
590,0,1
591,0,1
592,0,2
593,0,2
594,23000,2
595,0,2
596,0,1
597,0,2
598,0,1
599,0,2
600,68616,1
601,0,2
602,50020,1
603,115025,1
604,0,2
605,101206,2
606,0,1
607,0,2
608,0,2
609,3001,2
610,0,1
611,0,1
612,35002,1
613,0,2
614,69180,1
615,0,2
616,60500,2
617,4870,2
618,0,1
619,88451,2
620,0,1
621,35000,1
622,5041,2
623,11424,1
624,37405,1
625,2400,2
626,39246,2
627,80210,2
628,116033,2
629,0,1
630,13200,2
631,122487,2
632,0,1
633,0,2
634,0,2
635,0,1
636,50135,1
637,103915,1
638,0,1
639,4833,2
640,0,2
641,0,1
642,0,2
643,90505,1
644,0,2
645,100000,2
646,0,1
